brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
OLYMPIKUS,Olympikus Express Masculino Adultos,274,99,217,79,4.7,(229)
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos,218,74,139,99,4.8,(7632)
OLYMPIKUS,Olympikus Eros Masculino Adultos,237,49,174,98,4.8,(1215)
OLYMPIKUS,Olympikus Treino Proof 3 Masculino Adultos,,,199,04,4.8,(1392)
OLYMPIKUS,Olympikus Caminhada Urano 2 Sem gênero Adultos,229,99,145,99,4.8,(850)
UNDER ARMOUR,Tênis Under Armour Tribase Cross Se Masculino Academia,549,90,479,90,,
UNDER ARMOUR,Under Armour Pacer Masculino Adultos,449,99,217,34,4.6,(583)
OLYMPIKUS,Tênis Olympikus Clic Masculino Caminhada Preto/branco,248,,229,90,,
FILA,Tênis Masculino De Corrida Racer Comet Fila,,,420,,,
TAYGRA,Taygra Original Para Dança Confortável  Preto - Envio 24hs ,,,179,90,4.8,(117)
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,169,90,152,91,4.6,(1552)
,Kit Tenis Masculino Academia + Relógio Digital Led + Meia,149,90,114,71,4.4,(470)
FILA,Tênis Masculino De Corrida Racer Comet Fila,,,407,40,,
FILA,Fila Retro Sport 2.0 V2 Masculino Adultos,,,290,69,,
UNDER ARMOUR,Under Armour Charged Slight 2 Masculino Adultos,359,99,247,94,4.8,(311)
NIKE,Tênis Nike Air Max Sc Masculino,,,389,99,4.8,(400)
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,74,99,4.5,(9386)
NEW BALANCE,Tênis New Balance Fuelcell Rebel V3 Masculino Laranja,,,789,99,,
FILA,Tênis Fila Revenge Masculino Marinho E Vermelho Original ,,,299,99,,
NEW BALANCE,Tênis Masculino New Balance Fuelcell Rebel V3,,,789,99,,
MIZUNO,Mizuno Wave Zest Masculino Adultos,449,99,323,94,4.5,(48)
NEW BALANCE,Tênis New Balance Fuelcell Rebel V3 Masculino Original,,,789,99,,
ADIDAS,Tênis De Corrida Masculino adidas Response Runner Macio Leve,,,429,99,,
NIKE,Tênis Nike Revolution 6 Flyease Next Nature Masculino,,,269,99,4.8,(408)
ADIDAS,Tênis Corrida adidas Masculino Response Runner Original,,,429,99,,
ADIDAS,Tênis Esportivo Masculino adidas Corrida Academia Treino,,,429,99,,
NEW BALANCE,Kit Tênis New Balance Fuelcell Rebel V3 E Meia,,,789,99,,
ADIDAS,Tênis De Corrida Masculino E Feminino Response Runner adidas,299,,212,79,4.8,(356)
UNDER ARMOUR,Tênis Under Armour Essential 2 Original Academia Masculino,262,49,206,90,4.8,(195)
OLYMPIKUS,Olympikus Treino Dynamic Masculino Adultos,279,99,150,99,4.8,(5653)
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos,218,74,139,99,4.8,(7632)
MIZUNO,Tênis De Corrida Masculino Mizuno Wave Vitality 5,,,432,,,
MIZUNO,Mizuno Space 3 Masculino Adultos,,,199,,4.8,(1412)
OLYMPIKUS,Olympikus Neblina Masculino Adultos,324,99,259,99,4.8,(33)
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,77,90,74,,4.5,(4603)
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,,,78,90,4.1,(5402)
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,169,90,152,91,4.6,(1552)
ADIDAS,Tênis Grand Court Base 2.0 Feminino E Masculino adidas ,349,99,243,99,4.8,(298)
OLYMPIKUS,Olympikus Casual Index 3 Masculino Adultos 43611218_1-004,189,99,142,99,4.8,(942)
ASCENSION,Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit,,,68,,4.7,(1988)
OLYMPIKUS,Olympikus Corre 3 Sem gênero Adultos,,,499,,4.8,(39)
RAINHA,Tênis Rainha Vl 2500 Futsal Vôlei Academia Capoeira Corrida,,,78,90,4.6,(748)
TMC,Tênis Masculino Academia Olympiko Esportivo Barato Original,78,90,61,54,4.4,(180)
OLYMPIKUS,Olympikus Voa 2 Masculino Adultos,299,99,198,54,4.8,(260)
ADIDAS,adidas Lite Racer 3.0 Masculino Adultos,299,99,265,34,4.7,(418)
,Tênis Masculino Corrida Caminhada Academia Macio Barato Top,51,90,44,65,4.4,(3390)
,Tênis Masculino Esportivo Caminhada Academia Corrida - It,89,90,78,21,4.5,(357)
,Tenis Sapatilha Bike Pesca Corrida Academia Neoprene Confort,,,53,,4.6,(387)
ASCENSION,Tenis Ortopedico Masculino Corrida Caminhada Academia Treino,119,,110,67,4.4,(109)
DIX,Tênis Para Academia Masculino Malhar Corrida Promoção,66,90,63,55,4.5,(1568)
FILA,Fila Racer T2 Masculino Adultos,599,90,319,,4.9,(89)
,Sapatenis Kit 3 Pares + Relogio Mais Barato Do Brasil,169,90,139,31,3.8,(4)
OLYMPIKUS,Olympikus Express Masculino Adultos,274,99,217,79,4.7,(229)
FILA,Fila Running Progress Masculino Adultos,,,389,90,4.7,(176)
